             380     22.4
             390     31.3
             400     41.3
             410     52.1
             420     63.2
             430     73.1
             440     80.8
             450     85.4
             460     88.3
             470       92
             480     95.2
             490     96.5
             500     94.2
             510     90.7
             520     89.5
             530     92.2
             540     96.9
             550      101
             560    102.8
             570    102.6
             580      101
             590     99.2
             600       98
             610     98.5
             620     99.7
             630      101
             640    102.2
             650    103.9
             660      105
             670    104.9
             680    103.9
             690    101.6
             700     99.1
             710     96.2
             720     92.9
             730     89.4
             740     86.9
             750     85.2
             760     84.7
             770     85.4
             780       87
