      380    9.80
      390    12.09
      400    14.71
      410    17.68
      420    21.00
      430    24.67
      440    28.70
      450    33.09
      460    37.81
      470    42.87
      480    48.24
      490    53.91
      500    59.86
      510    66.06
      520    72.50
      530    79.13
      540    85.95
      550    92.91
      560    100
      570    107.18
      580    114.44
      590    121.73
      600    129.04
      610    136.35
      620    143.62
      630    150.84
      640    157.98
      650    165.03
      660    171.96
      670    178.77
      680    185.43
      690    191.93
      700    198.26
      710    204.41
      720    210.36
      730    216.12
      740    221.67
      750    227.00
      760    232.11
      770    237.01
      780    241.67
