             380     66.7
             390       70
             400    101.9
             410    111.9
             420    112.8
             430    103.1
             440    121.2
             450      133
             460    132.4
             470    127.3
             480    126.8
             490    117.8
             500    116.6
             510    113.7
             520    108.7
             530    110.4
             540    106.3
             550    104.9
             560      100
             570     95.6
             580     94.2
             590       87
             600     87.2
             610     86.1
             620     83.6
             630     78.7
             640     78.4
             650     74.8
             660     74.3
             670     75.4
             680     71.6
             690     63.9
             700     65.1
             710     68.1
             720     56.4
             730     64.2
             740     69.2
             750     58.6
             760     42.6
             770     61.4
             780     58.3
